grouping_variable,value_variable,group_a,group_b,n_a,n_b,median_a,median_b,p_value_raw,cliffs_delta,cliffs_magnitude,p_adj_fdr,significant_fdr,combined_grouping
sex__age_group__bmi_cat,t2m_pre_mean_rr,1 | 70-79 | low,1 | 80+ | normal,12,12,824.5,893.5,0.08853377201422956,-0.4166666666666667,medium,0.5468262389114178,False,sex__age_group__bmi_cat
sex__age_group__bmi_cat,t2m_pre_mean_rr,1 | 70-79 | low,2 | 70-79 | obesity,12,30,824.5,907.0,0.28373257659743334,-0.21666666666666667,small,0.732597758919146,False,sex__age_group__bmi_cat
sex__age_group__bmi_cat,t2m_pre_mean_rr,1 | 70-79 | low,2 | 60-69 | obesity,12,22,824.5,794.5,0.7320631371737094,0.07575757575757576,negligible,0.8971896951808154,False,sex__age_group__bmi_cat
sex__age_group__bmi_cat,t2m_pre_mean_rr,1 | 70-79 | low,2 | 60-69 | normal,12,14,824.5,880.5,0.31587447983048955,-0.23809523809523808,small,0.732597758919146,False,sex__age_group__bmi_cat
sex__age_group__bmi_cat,t2m_pre_mean_rr,1 | 60-69 | obesity,2 | 60-69 | overweight,69,18,849.0,811.5,0.2712141852125536,0.16988727858293076,small,0.732597758919146,False,sex__age_group__bmi_cat
sex__age_group__bmi_cat,t2m_pre_mean_rr,1 | 60-69 | obesity,1 | 80+ | overweight,69,11,849.0,862.0,0.769212928587318,-0.05665349143610013,negligible,0.9169835176167932,False,sex__age_group__bmi_cat
sex__age_group__bmi_cat,t2m_pre_mean_rr,1 | 60-69 | obesity,2 | 70-79 | normal,69,26,849.0,880.5,0.5674485870105022,-0.07692307692307693,negligible,0.8301174663866909,False,sex__age_group__bmi_cat
sex__age_group__bmi_cat,t2m_pre_mean_rr,1 | 60-69 | obesity,1 | 80+ | normal,69,12,849.0,893.5,0.0952121989496142,-0.30434782608695654,small,0.5554044938727495,False,sex__age_group__bmi_cat
sex__age_group__bmi_cat,t2m_pre_mean_rr,1 | 60-69 | obesity,2 | 70-79 | obesity,69,30,849.0,907.0,0.45326250140363833,-0.09565217391304348,negligible,0.821864707463291,False,sex__age_group__bmi_cat
sex__age_group__bmi_cat,t2m_pre_mean_rr,1 | 60-69 | obesity,2 | 60-69 | obesity,69,22,849.0,794.5,0.2620045544073888,0.1600790513833992,small,0.732597758919146,False,sex__age_group__bmi_cat
sex__age_group__bmi_cat,t2m_pre_mean_rr,1 | 60-69 | obesity,2 | 60-69 | normal,69,14,849.0,880.5,0.5967760884047277,-0.09109730848861283,negligible,0.8301174663866909,False,sex__age_group__bmi_cat
sex__age_group__bmi_cat,t2m_pre_mean_rr,2 | 60-69 | overweight,1 | 80+ | overweight,18,11,811.5,862.0,0.5439970047870248,-0.1414141414141414,negligible,0.821864707463291,False,sex__age_group__bmi_cat
sex__age_group__bmi_cat,t2m_pre_mean_rr,2 | 60-69 | overweight,2 | 70-79 | normal,18,26,811.5,880.5,0.27213511067523444,-0.1987179487179487,small,0.732597758919146,False,sex__age_group__bmi_cat
sex__age_group__bmi_cat,t2m_pre_mean_rr,2 | 60-69 | overweight,1 | 80+ | normal,18,12,811.5,893.5,0.026249384001633312,-0.49074074074074076,large,0.4746728838429102,False,sex__age_group__bmi_cat
