grouping_variable,value_variable,group_a,group_b,p_adj,combined_grouping
sex__bmi_cat,t2m_pre_mean_rr,1 | obesity,2 | overweight,0.8509911512401571,sex__bmi_cat
sex__bmi_cat,t2m_pre_mean_rr,1 | overweight,2 | low,0.8509911512401571,sex__bmi_cat
sex__bmi_cat,t2m_pre_mean_rr,1 | overweight,2 | normal,0.8509911512401571,sex__bmi_cat
sex__bmi_cat,t2m_pre_mean_rr,1 | overweight,2 | obesity,0.8509911512401571,sex__bmi_cat
sex__bmi_cat,t2m_pre_mean_rr,1 | overweight,2 | overweight,0.8509911512401571,sex__bmi_cat
sex__bmi_cat,t2m_pre_mean_rr,2 | low,2 | normal,0.8509911512401571,sex__bmi_cat
sex__bmi_cat,t2m_pre_mean_rr,2 | low,2 | obesity,0.8509911512401571,sex__bmi_cat
sex__bmi_cat,t2m_pre_mean_rr,2 | low,2 | overweight,0.8509911512401571,sex__bmi_cat
sex__bmi_cat,t2m_pre_mean_rr,2 | normal,2 | obesity,0.8509911512401571,sex__bmi_cat
sex__bmi_cat,t2m_pre_mean_rr,2 | normal,2 | overweight,0.8509911512401571,sex__bmi_cat
sex__bmi_cat,t2m_pre_mean_rr,2 | obesity,2 | overweight,0.8618432189416259,sex__bmi_cat
sex__bmi_cat,t2m_pre_mean_hr,1 | low,1 | normal,0.8467088840893479,sex__bmi_cat
sex__bmi_cat,t2m_pre_mean_hr,1 | low,1 | obesity,0.8467088840893479,sex__bmi_cat
sex__bmi_cat,t2m_pre_mean_hr,1 | low,1 | overweight,0.8467088840893479,sex__bmi_cat
sex__bmi_cat,t2m_pre_mean_hr,1 | low,2 | low,0.8467088840893479,sex__bmi_cat
sex__bmi_cat,t2m_pre_mean_hr,1 | low,2 | normal,0.8467088840893479,sex__bmi_cat
sex__bmi_cat,t2m_pre_mean_hr,1 | low,2 | obesity,0.8467088840893479,sex__bmi_cat
sex__bmi_cat,t2m_pre_mean_hr,1 | low,2 | overweight,0.8467088840893479,sex__bmi_cat
sex__bmi_cat,t2m_pre_mean_hr,1 | normal,1 | obesity,0.8467088840893479,sex__bmi_cat
sex__bmi_cat,t2m_pre_mean_hr,1 | normal,1 | overweight,0.8467088840893479,sex__bmi_cat
sex__bmi_cat,t2m_pre_mean_hr,1 | normal,2 | low,0.8467088840893479,sex__bmi_cat
sex__bmi_cat,t2m_pre_mean_hr,1 | normal,2 | normal,0.9887349374932545,sex__bmi_cat
sex__bmi_cat,t2m_pre_mean_hr,1 | normal,2 | obesity,0.8467088840893479,sex__bmi_cat
sex__bmi_cat,t2m_pre_mean_hr,1 | normal,2 | overweight,0.8467088840893479,sex__bmi_cat
sex__bmi_cat,t2m_pre_mean_hr,1 | obesity,1 | overweight,0.9346224253618107,sex__bmi_cat
sex__bmi_cat,t2m_pre_mean_hr,1 | obesity,2 | low,0.8467088840893479,sex__bmi_cat
sex__bmi_cat,t2m_pre_mean_hr,1 | obesity,2 | normal,0.8467088840893479,sex__bmi_cat
sex__bmi_cat,t2m_pre_mean_hr,1 | obesity,2 | obesity,0.9346224253618107,sex__bmi_cat
sex__bmi_cat,t2m_pre_mean_hr,1 | obesity,2 | overweight,0.9346224253618107,sex__bmi_cat
sex__bmi_cat,t2m_pre_mean_hr,1 | overweight,2 | low,0.8467088840893479,sex__bmi_cat
sex__bmi_cat,t2m_pre_mean_hr,1 | overweight,2 | normal,0.8467088840893479,sex__bmi_cat
sex__bmi_cat,t2m_pre_mean_hr,1 | overweight,2 | obesity,0.9336119641761952,sex__bmi_cat
sex__bmi_cat,t2m_pre_mean_hr,1 | overweight,2 | overweight,0.9887349374932545,sex__bmi_cat
sex__bmi_cat,t2m_pre_mean_hr,2 | low,2 | normal,0.8467088840893479,sex__bmi_cat
sex__bmi_cat,t2m_pre_mean_hr,2 | low,2 | obesity,0.8467088840893479,sex__bmi_cat
sex__bmi_cat,t2m_pre_mean_hr,2 | low,2 | overweight,0.8467088840893479,sex__bmi_cat
sex__bmi_cat,t2m_pre_mean_hr,2 | normal,2 | obesity,0.8467088840893479,sex__bmi_cat
sex__bmi_cat,t2m_pre_mean_hr,2 | normal,2 | overweight,0.8483169185883076,sex__bmi_cat
sex__bmi_cat,t2m_pre_mean_hr,2 | obesity,2 | overweight,0.9336119641761952,sex__bmi_cat
sex__bmi_cat,t2m_pre_sdnn,1 | low,1 | normal,0.46728696649280904,sex__bmi_cat
sex__bmi_cat,t2m_pre_sdnn,1 | low,1 | obesity,0.40898368000896673,sex__bmi_cat
sex__bmi_cat,t2m_pre_sdnn,1 | low,1 | overweight,0.8687361298230025,sex__bmi_cat
sex__bmi_cat,t2m_pre_sdnn,1 | low,2 | low,0.025638156706734184,sex__bmi_cat
sex__bmi_cat,t2m_pre_sdnn,1 | low,2 | normal,0.42125683246458867,sex__bmi_cat
sex__bmi_cat,t2m_pre_sdnn,1 | low,2 | obesity,0.07307451610758778,sex__bmi_cat
sex__bmi_cat,t2m_pre_sdnn,1 | low,2 | overweight,0.06756959258212772,sex__bmi_cat
sex__bmi_cat,t2m_pre_sdnn,1 | normal,1 | obesity,0.8347825310483715,sex__bmi_cat
sex__bmi_cat,t2m_pre_sdnn,1 | normal,1 | overweight,0.31708953417314717,sex__bmi_cat
sex__bmi_cat,t2m_pre_sdnn,1 | normal,2 | low,0.002488738047207347,sex__bmi_cat
sex__bmi_cat,t2m_pre_sdnn,1 | normal,2 | normal,0.02267620921689735,sex__bmi_cat
sex__bmi_cat,t2m_pre_sdnn,1 | normal,2 | obesity,1.5650014296325585e-05,sex__bmi_cat
sex__bmi_cat,t2m_pre_sdnn,1 | normal,2 | overweight,9.110407806628042e-06,sex__bmi_cat
sex__bmi_cat,t2m_pre_sdnn,1 | obesity,1 | overweight,0.19703019790895715,sex__bmi_cat
sex__bmi_cat,t2m_pre_sdnn,1 | obesity,2 | low,0.001961211144969572,sex__bmi_cat
sex__bmi_cat,t2m_pre_sdnn,1 | obesity,2 | normal,0.011302759927483606,sex__bmi_cat
sex__bmi_cat,t2m_pre_sdnn,1 | obesity,2 | obesity,5.543697221772143e-06,sex__bmi_cat
sex__bmi_cat,t2m_pre_sdnn,1 | obesity,2 | overweight,4.279841255564422e-06,sex__bmi_cat
sex__bmi_cat,t2m_pre_sdnn,1 | overweight,2 | low,0.008313525121906567,sex__bmi_cat
sex__bmi_cat,t2m_pre_sdnn,1 | overweight,2 | normal,0.1473241670707593,sex__bmi_cat
sex__bmi_cat,t2m_pre_sdnn,1 | overweight,2 | obesity,0.0008815625625960774,sex__bmi_cat
sex__bmi_cat,t2m_pre_sdnn,1 | overweight,2 | overweight,0.0005896745488340405,sex__bmi_cat
