grouping_variable,value_variable,group_a,group_b,n_a,n_b,median_a,median_b,p_value_raw,cliffs_delta,cliffs_magnitude,p_adj_fdr,significant_fdr
bmi_cat,t2m_pre_mean_rr,overweight,low,162,23,843.0,823.0,0.48319319225454704,0.09071390230810521,negligible,0.5798318307054564,False
bmi_cat,t2m_pre_mean_rr,obesity,low,184,23,850.0,823.0,0.4795216557119122,0.09073724007561437,negligible,0.5798318307054564,False
bmi_cat,t2m_pre_mean_hr,normal,overweight,160,162,69.0,70.0,0.3448969135969413,-0.06087962962962963,negligible,0.7414723718088996,False
bmi_cat,t2m_pre_mean_hr,normal,obesity,160,184,69.0,70.0,0.2406089995067815,-0.07333559782608695,negligible,0.7414723718088996,False
bmi_cat,t2m_pre_mean_hr,normal,low,160,23,69.0,73.0,0.3707361859044498,-0.11576086956521739,negligible,0.7414723718088996,False
bmi_cat,t2m_pre_mean_hr,overweight,obesity,162,184,70.0,70.0,0.7213009830983432,-0.022242351046698874,negligible,0.8303284328700264,False
bmi_cat,t2m_pre_mean_hr,overweight,low,162,23,70.0,73.0,0.6770992774631319,-0.05394524959742351,negligible,0.8303284328700264,False
bmi_cat,t2m_pre_mean_hr,obesity,low,184,23,70.0,73.0,0.8303284328700264,-0.027646502835538753,negligible,0.8303284328700264,False
bmi_cat,t2m_pre_sdnn,normal,overweight,153,160,149.0,121.5,0.02568521865501328,0.14591503267973857,negligible,0.15411131193007968,False
bmi_cat,t2m_pre_sdnn,normal,obesity,153,183,149.0,145.0,0.46491229293592984,0.04632308296724883,negligible,0.52086761653394,False
bmi_cat,t2m_pre_sdnn,normal,low,153,23,149.0,83.0,0.08937388259720054,0.2202330207445297,small,0.18134315443621263,False
bmi_cat,t2m_pre_sdnn,overweight,obesity,160,183,121.5,145.0,0.09067157721810631,-0.10590846994535519,negligible,0.18134315443621263,False
bmi_cat,t2m_pre_sdnn,overweight,low,160,23,121.5,83.0,0.52086761653394,0.08315217391304348,negligible,0.52086761653394,False
bmi_cat,t2m_pre_sdnn,obesity,low,183,23,145.0,83.0,0.13619768987986133,0.1910192444761226,small,0.20429653481979201,False
bmi_cat,t2m_pre_rmssd,normal,overweight,157,158,13.7,13.8,0.1790307169712363,0.08759977424816577,negligible,0.5370921509137089,False
bmi_cat,t2m_pre_rmssd,normal,obesity,157,184,13.7,13.350000000000001,0.13447209335229224,0.094052893935198,negligible,0.5370921509137089,False
bmi_cat,t2m_pre_rmssd,normal,low,157,23,13.7,14.7,0.3381897789138951,0.1240653558571033,negligible,0.6763795578277902,False
bmi_cat,t2m_pre_rmssd,overweight,obesity,158,184,13.8,13.350000000000001,0.9593156047917012,0.003233351678591084,negligible,0.9593156047917012,False
bmi_cat,t2m_pre_rmssd,overweight,low,158,23,13.8,14.7,0.7284622394447752,0.045129334067143645,negligible,0.9314045620900632,False
bmi_cat,t2m_pre_rmssd,obesity,low,184,23,13.350000000000001,14.7,0.776170468408386,0.036625708884688093,negligible,0.9314045620900632,False
bmi_cat,t2m_pre_hf,normal,overweight,161,162,98.0,78.0,0.08959295398394475,0.10927076144467449,negligible,0.26877886195183426,False
bmi_cat,t2m_pre_hf,normal,obesity,161,184,98.0,118.0,0.9620274776095076,-0.0030043208209559816,negligible,0.9620274776095076,False
bmi_cat,t2m_pre_hf,normal,low,161,23,98.0,90.0,0.6452295182043744,0.05968133945449636,negligible,0.9403029561456514,False
bmi_cat,t2m_pre_hf,overweight,obesity,162,184,78.0,118.0,0.0867772770994644,-0.1067163177670424,negligible,0.26877886195183426,False
bmi_cat,t2m_pre_hf,overweight,low,162,23,78.0,90.0,0.7835857967880429,-0.03569511540526033,negligible,0.9403029561456514,False
bmi_cat,t2m_pre_hf,obesity,low,184,23,118.0,90.0,0.6483894290570665,0.05860113421550094,negligible,0.9403029561456514,False
bmi_cat,t2m_pre_lf,normal,overweight,161,162,150.0,98.0,0.09655531359490367,0.1069703243616287,negligible,0.5401698060805238,False
bmi_cat,t2m_pre_lf,normal,obesity,161,184,150.0,119.5,0.532410904658034,0.038988657844990546,negligible,0.6388930855896408,False
bmi_cat,t2m_pre_lf,normal,low,161,23,150.0,91.0,0.2700849030402619,0.14258709154739402,negligible,0.5401698060805238,False
bmi_cat,t2m_pre_lf,overweight,obesity,162,184,98.0,119.5,0.2382131576474119,-0.07350375738056897,negligible,0.5401698060805238,False
bmi_cat,t2m_pre_lf,overweight,low,162,23,98.0,91.0,0.7266729644569719,0.045356951154052604,negligible,0.7266729644569719,False
bmi_cat,t2m_pre_lf,obesity,low,184,23,119.5,91.0,0.37354398202586214,0.11413043478260869,negligible,0.5603159730387932,False
bmi_cat,t2m_pre_vlf,normal,overweight,161,162,30.0,29.0,0.893335953613951,0.008664979679472433,negligible,0.9121706275426841,False
bmi_cat,t2m_pre_vlf,normal,obesity,161,184,30.0,35.0,0.687671522235793,-0.025114771806643264,negligible,0.9121706275426841,False
bmi_cat,t2m_pre_vlf,normal,low,161,23,30.0,36.0,0.8604327205255646,0.022954361328652445,negligible,0.9121706275426841,False
bmi_cat,t2m_pre_vlf,overweight,obesity,162,184,29.0,35.0,0.5366959947602249,-0.03851315083199141,negligible,0.9121706275426841,False
bmi_cat,t2m_pre_vlf,overweight,low,162,23,29.0,36.0,0.9121706275426841,0.014492753623188406,negligible,0.9121706275426841,False
bmi_cat,t2m_pre_vlf,obesity,low,184,23,35.0,36.0,0.7494035833355763,0.04111531190926276,negligible,0.9121706275426841,False
