variable,cluster_1,cluster_2,test,statistic,p_value,effect_size,median_1,median_2,median_diff,mean_1,mean_2,n_1,n_2,p_adj_fdr
age,3,6,mannwhitneyu,1747.5,0.15020907568970718,-0.14839181286549707,69.0,70.0,-1.0,68.14814814814815,70.32894736842105,54,76,0.21029270596559005
age,4,5,mannwhitneyu,2985.0,0.03729537366849452,0.20362903225806453,69.0,67.0,2.0,69.69354838709677,68.0875,62,80,0.060246372849106535
age,4,6,mannwhitneyu,2267.0,0.7042220956288856,-0.03777589134125637,69.0,70.0,-1.0,69.69354838709677,70.32894736842105,62,76,0.7042220956288856
age,5,6,mannwhitneyu,2362.0,0.016012276962707798,-0.22302631578947368,67.0,70.0,-3.0,68.0875,70.32894736842105,80,76,0.028021484684738647
weight_kg,0,1,mannwhitneyu,5581.0,0.3632084172915713,0.07378547378547379,70.5,70.0,0.5,71.72761904761904,69.65252525252525,105,99,0.5084917842081997
weight_kg,0,2,mannwhitneyu,2810.0,0.9289800853377324,-0.008818342151675485,70.5,69.8,0.7000000000000028,71.72761904761904,72.54814814814814,105,54,0.9607891746067971
weight_kg,0,3,mannwhitneyu,2792.0,0.8771331439475745,-0.015167548500881834,70.5,71.5,-1.0,71.72761904761904,71.03888888888889,105,54,0.9607891746067971
weight_kg,0,4,mannwhitneyu,453.0,1.6632524875469117e-20,-0.8608294930875576,70.5,93.55000000000001,-23.05000000000001,71.72761904761904,96.14516129032258,105,62,1.7464151119242574e-19
weight_kg,0,5,mannwhitneyu,3820.5,0.293383228563627,-0.09035714285714286,70.5,71.0,-0.5,71.72761904761904,73.39500000000001,105,80,0.4707782220801588
weight_kg,0,6,mannwhitneyu,3494.0,0.15427721676670408,-0.12431077694235589,70.5,73.95,-3.450000000000003,71.72761904761904,75.7578947368421,105,76,0.3599801724556429
weight_kg,1,2,mannwhitneyu,2490.5,0.48707548975784454,-0.06827534605312383,70.0,69.8,0.20000000000000284,69.65252525252525,72.54814814814814,99,54,0.639286580307171
weight_kg,1,3,mannwhitneyu,2399.0,0.29632652644444024,-0.1025065469509914,70.0,71.5,-1.5,69.65252525252525,71.03888888888889,99,54,0.4707782220801588
weight_kg,1,4,mannwhitneyu,231.0,6.269972240089262e-23,-0.9247311827956989,70.0,93.55000000000001,-23.55000000000001,69.65252525252525,96.14516129032258,99,62,1.316694170418745e-21
weight_kg,1,5,mannwhitneyu,3322.5,0.06448535754751278,-0.16098484848484848,70.0,71.0,-1.0,69.65252525252525,73.39500000000001,99,80,0.16927406356222105
weight_kg,1,6,mannwhitneyu,2981.5,0.018856452162286857,-0.2074694311536417,70.0,73.95,-3.950000000000003,69.65252525252525,75.7578947368421,99,76,0.056569356486860574
weight_kg,2,3,mannwhitneyu,1449.5,0.9607891746067971,-0.005829903978052126,69.8,71.5,-1.7000000000000028,72.54814814814814,71.03888888888889,54,54,0.9607891746067971
weight_kg,2,4,mannwhitneyu,346.0,1.9997604211815336e-13,-0.7933094384707288,69.8,93.55000000000001,-23.750000000000014,72.54814814814814,96.14516129032258,54,62,8.398993768962441e-13
weight_kg,2,5,mannwhitneyu,2088.5,0.7473627145058461,-0.033101851851851855,69.8,71.0,-1.2000000000000028,72.54814814814814,73.39500000000001,54,80,0.8719231669234871
weight_kg,2,6,mannwhitneyu,1824.0,0.28243305793013573,-0.1111111111111111,69.8,73.95,-4.150000000000006,72.54814814814814,75.7578947368421,54,76,0.4707782220801588
weight_kg,3,4,mannwhitneyu,157.5,4.784943796429497e-17,-0.9059139784946236,71.5,93.55000000000001,-22.05000000000001,71.03888888888889,96.14516129032258,54,62,3.349460657500648e-16
weight_kg,3,5,mannwhitneyu,1937.5,0.3138521480534392,-0.10300925925925926,71.5,71.0,0.5,71.03888888888889,73.39500000000001,54,80,0.4707782220801588
weight_kg,3,6,mannwhitneyu,1794.5,0.22465476829989794,-0.12548732943469787,71.5,73.95,-2.450000000000003,71.03888888888889,75.7578947368421,54,76,0.4707782220801588
weight_kg,4,5,mannwhitneyu,4433.0,9.542899766245549e-16,0.7875,93.55000000000001,71.0,22.55000000000001,96.14516129032258,73.39500000000001,62,80,5.010022377278913e-15
weight_kg,4,6,mannwhitneyu,4019.5,1.088739202205672e-12,0.7060696095076401,93.55000000000001,73.95,19.60000000000001,96.14516129032258,75.7578947368421,62,76,3.810587207719853e-12
weight_kg,5,6,mannwhitneyu,2890.0,0.5960139636648685,-0.049342105263157895,71.0,73.95,-2.950000000000003,73.39500000000001,75.7578947368421,80,76,0.7362525433507199
height_m_final,0,1,mannwhitneyu,5774.0,0.16978114416648615,0.11091871091871092,1.58,1.56,0.020000000000000018,1.5793333333333335,1.5616161616161615,105,99,0.25467171624972923
height_m_final,0,2,mannwhitneyu,3229.0,0.15089781505807257,0.13897707231040565,1.58,1.5550000000000002,0.02499999999999991,1.5793333333333335,1.557222222222222,105,54,0.24375800893996336
height_m_final,0,3,mannwhitneyu,2901.5,0.8097346342361098,0.02345679012345679,1.58,1.57,0.010000000000000009,1.5793333333333335,1.5790740740740743,105,54,0.8097346342361098
height_m_final,0,4,mannwhitneyu,2650.5,0.044696039313480894,-0.18571428571428572,1.58,1.6150000000000002,-0.03500000000000014,1.5793333333333335,1.6106451612903225,105,62,0.10429075839812209
height_m_final,0,5,mannwhitneyu,5265.5,0.003000922480284174,0.2536904761904762,1.58,1.53,0.050000000000000044,1.5793333333333335,1.53725,105,80,0.012603874417193532
height_m_final,0,6,mannwhitneyu,4986.5,0.0037247054011967074,0.24974937343358397,1.58,1.5,0.08000000000000007,1.5793333333333335,1.5361842105263157,105,76,0.013036468904188477
height_m_final,1,2,mannwhitneyu,2766.0,0.7229720950953067,0.03479236812570146,1.56,1.5550000000000002,0.004999999999999893,1.5616161616161615,1.557222222222222,99,54,0.7990744208948126
height_m_final,1,3,mannwhitneyu,2454.0,0.4022467122931175,-0.0819304152637486,1.56,1.57,-0.010000000000000009,1.5616161616161615,1.5790740740740743,99,54,0.4692878310086371
height_m_final,1,4,mannwhitneyu,2115.5,0.0008826087864811175,-0.31068752036493974,1.56,1.6150000000000002,-0.05500000000000016,1.5616161616161615,1.6106451612903225,99,62,0.006178261505367823
height_m_final,1,5,mannwhitneyu,4566.5,0.07664353371173929,0.15315656565656566,1.56,1.53,0.030000000000000027,1.5616161616161615,1.53725,99,80,0.1463194734496841
