experiment_id,label_file,algorithm,family,space_name,params_json
49,../../results/clustering_exploration/labels/labels_exp_00049.csv,bisecting_kmeans,centroid-based,hrv_raw_scaled,"{""n_clusters"": 22}"
50,../../results/clustering_exploration/labels/labels_exp_00050.csv,bisecting_kmeans,centroid-based,hrv_raw_scaled,"{""n_clusters"": 23}"
51,../../results/clustering_exploration/labels/labels_exp_00051.csv,bisecting_kmeans,centroid-based,hrv_raw_scaled,"{""n_clusters"": 24}"
52,../../results/clustering_exploration/labels/labels_exp_00052.csv,bisecting_kmeans,centroid-based,hrv_raw_scaled,"{""n_clusters"": 25}"
53,../../results/clustering_exploration/labels/labels_exp_00053.csv,bisecting_kmeans,centroid-based,hrv_raw_scaled,"{""n_clusters"": 26}"
54,../../results/clustering_exploration/labels/labels_exp_00054.csv,bisecting_kmeans,centroid-based,hrv_raw_scaled,"{""n_clusters"": 27}"
55,../../results/clustering_exploration/labels/labels_exp_00055.csv,bisecting_kmeans,centroid-based,hrv_raw_scaled,"{""n_clusters"": 28}"
56,../../results/clustering_exploration/labels/labels_exp_00056.csv,bisecting_kmeans,centroid-based,hrv_raw_scaled,"{""n_clusters"": 29}"
57,../../results/clustering_exploration/labels/labels_exp_00057.csv,bisecting_kmeans,centroid-based,hrv_raw_scaled,"{""n_clusters"": 30}"
58,../../results/clustering_exploration/labels/labels_exp_00058.csv,gmm,model-based,hrv_raw_scaled,"{""covariance_type"": ""full"", ""n_components"": 2}"
59,../../results/clustering_exploration/labels/labels_exp_00059.csv,gmm,model-based,hrv_raw_scaled,"{""covariance_type"": ""diag"", ""n_components"": 2}"
60,../../results/clustering_exploration/labels/labels_exp_00060.csv,gmm,model-based,hrv_raw_scaled,"{""covariance_type"": ""tied"", ""n_components"": 2}"
61,../../results/clustering_exploration/labels/labels_exp_00061.csv,gmm,model-based,hrv_raw_scaled,"{""covariance_type"": ""spherical"", ""n_components"": 2}"
62,../../results/clustering_exploration/labels/labels_exp_00062.csv,gmm,model-based,hrv_raw_scaled,"{""covariance_type"": ""full"", ""n_components"": 3}"
63,../../results/clustering_exploration/labels/labels_exp_00063.csv,gmm,model-based,hrv_raw_scaled,"{""covariance_type"": ""diag"", ""n_components"": 3}"
64,../../results/clustering_exploration/labels/labels_exp_00064.csv,gmm,model-based,hrv_raw_scaled,"{""covariance_type"": ""tied"", ""n_components"": 3}"
65,../../results/clustering_exploration/labels/labels_exp_00065.csv,gmm,model-based,hrv_raw_scaled,"{""covariance_type"": ""spherical"", ""n_components"": 3}"
66,../../results/clustering_exploration/labels/labels_exp_00066.csv,gmm,model-based,hrv_raw_scaled,"{""covariance_type"": ""full"", ""n_components"": 4}"
67,../../results/clustering_exploration/labels/labels_exp_00067.csv,gmm,model-based,hrv_raw_scaled,"{""covariance_type"": ""diag"", ""n_components"": 4}"
68,../../results/clustering_exploration/labels/labels_exp_00068.csv,gmm,model-based,hrv_raw_scaled,"{""covariance_type"": ""tied"", ""n_components"": 4}"
69,../../results/clustering_exploration/labels/labels_exp_00069.csv,gmm,model-based,hrv_raw_scaled,"{""covariance_type"": ""spherical"", ""n_components"": 4}"
70,../../results/clustering_exploration/labels/labels_exp_00070.csv,gmm,model-based,hrv_raw_scaled,"{""covariance_type"": ""full"", ""n_components"": 5}"
71,../../results/clustering_exploration/labels/labels_exp_00071.csv,gmm,model-based,hrv_raw_scaled,"{""covariance_type"": ""diag"", ""n_components"": 5}"
72,../../results/clustering_exploration/labels/labels_exp_00072.csv,gmm,model-based,hrv_raw_scaled,"{""covariance_type"": ""tied"", ""n_components"": 5}"
73,../../results/clustering_exploration/labels/labels_exp_00073.csv,gmm,model-based,hrv_raw_scaled,"{""covariance_type"": ""spherical"", ""n_components"": 5}"
74,../../results/clustering_exploration/labels/labels_exp_00074.csv,gmm,model-based,hrv_raw_scaled,"{""covariance_type"": ""full"", ""n_components"": 6}"
75,../../results/clustering_exploration/labels/labels_exp_00075.csv,gmm,model-based,hrv_raw_scaled,"{""covariance_type"": ""diag"", ""n_components"": 6}"
76,../../results/clustering_exploration/labels/labels_exp_00076.csv,gmm,model-based,hrv_raw_scaled,"{""covariance_type"": ""tied"", ""n_components"": 6}"
77,../../results/clustering_exploration/labels/labels_exp_00077.csv,gmm,model-based,hrv_raw_scaled,"{""covariance_type"": ""spherical"", ""n_components"": 6}"
78,../../results/clustering_exploration/labels/labels_exp_00078.csv,gmm,model-based,hrv_raw_scaled,"{""covariance_type"": ""full"", ""n_components"": 7}"
79,../../results/clustering_exploration/labels/labels_exp_00079.csv,gmm,model-based,hrv_raw_scaled,"{""covariance_type"": ""diag"", ""n_components"": 7}"
80,../../results/clustering_exploration/labels/labels_exp_00080.csv,gmm,model-based,hrv_raw_scaled,"{""covariance_type"": ""tied"", ""n_components"": 7}"
81,../../results/clustering_exploration/labels/labels_exp_00081.csv,gmm,model-based,hrv_raw_scaled,"{""covariance_type"": ""spherical"", ""n_components"": 7}"
82,../../results/clustering_exploration/labels/labels_exp_00082.csv,gmm,model-based,hrv_raw_scaled,"{""covariance_type"": ""full"", ""n_components"": 8}"
83,../../results/clustering_exploration/labels/labels_exp_00083.csv,gmm,model-based,hrv_raw_scaled,"{""covariance_type"": ""diag"", ""n_components"": 8}"
84,../../results/clustering_exploration/labels/labels_exp_00084.csv,gmm,model-based,hrv_raw_scaled,"{""covariance_type"": ""tied"", ""n_components"": 8}"
85,../../results/clustering_exploration/labels/labels_exp_00085.csv,gmm,model-based,hrv_raw_scaled,"{""covariance_type"": ""spherical"", ""n_components"": 8}"
86,../../results/clustering_exploration/labels/labels_exp_00086.csv,gmm,model-based,hrv_raw_scaled,"{""covariance_type"": ""full"", ""n_components"": 9}"
87,../../results/clustering_exploration/labels/labels_exp_00087.csv,gmm,model-based,hrv_raw_scaled,"{""covariance_type"": ""diag"", ""n_components"": 9}"
88,../../results/clustering_exploration/labels/labels_exp_00088.csv,gmm,model-based,hrv_raw_scaled,"{""covariance_type"": ""tied"", ""n_components"": 9}"
89,../../results/clustering_exploration/labels/labels_exp_00089.csv,gmm,model-based,hrv_raw_scaled,"{""covariance_type"": ""spherical"", ""n_components"": 9}"
90,../../results/clustering_exploration/labels/labels_exp_00090.csv,gmm,model-based,hrv_raw_scaled,"{""covariance_type"": ""full"", ""n_components"": 10}"
91,../../results/clustering_exploration/labels/labels_exp_00091.csv,gmm,model-based,hrv_raw_scaled,"{""covariance_type"": ""diag"", ""n_components"": 10}"
92,../../results/clustering_exploration/labels/labels_exp_00092.csv,gmm,model-based,hrv_raw_scaled,"{""covariance_type"": ""tied"", ""n_components"": 10}"
93,../../results/clustering_exploration/labels/labels_exp_00093.csv,gmm,model-based,hrv_raw_scaled,"{""covariance_type"": ""spherical"", ""n_components"": 10}"
94,../../results/clustering_exploration/labels/labels_exp_00094.csv,gmm,model-based,hrv_raw_scaled,"{""covariance_type"": ""full"", ""n_components"": 11}"
95,../../results/clustering_exploration/labels/labels_exp_00095.csv,gmm,model-based,hrv_raw_scaled,"{""covariance_type"": ""diag"", ""n_components"": 11}"
96,../../results/clustering_exploration/labels/labels_exp_00096.csv,gmm,model-based,hrv_raw_scaled,"{""covariance_type"": ""tied"", ""n_components"": 11}"
97,../../results/clustering_exploration/labels/labels_exp_00097.csv,gmm,model-based,hrv_raw_scaled,"{""covariance_type"": ""spherical"", ""n_components"": 11}"
98,../../results/clustering_exploration/labels/labels_exp_00098.csv,gmm,model-based,hrv_raw_scaled,"{""covariance_type"": ""full"", ""n_components"": 12}"
99,../../results/clustering_exploration/labels/labels_exp_00099.csv,gmm,model-based,hrv_raw_scaled,"{""covariance_type"": ""diag"", ""n_components"": 12}"
100,../../results/clustering_exploration/labels/labels_exp_00100.csv,gmm,model-based,hrv_raw_scaled,"{""covariance_type"": ""tied"", ""n_components"": 12}"
101,../../results/clustering_exploration/labels/labels_exp_00101.csv,gmm,model-based,hrv_raw_scaled,"{""covariance_type"": ""spherical"", ""n_components"": 12}"
102,../../results/clustering_exploration/labels/labels_exp_00102.csv,gmm,model-based,hrv_raw_scaled,"{""covariance_type"": ""full"", ""n_components"": 13}"
103,../../results/clustering_exploration/labels/labels_exp_00103.csv,gmm,model-based,hrv_raw_scaled,"{""covariance_type"": ""diag"", ""n_components"": 13}"
104,../../results/clustering_exploration/labels/labels_exp_00104.csv,gmm,model-based,hrv_raw_scaled,"{""covariance_type"": ""tied"", ""n_components"": 13}"
105,../../results/clustering_exploration/labels/labels_exp_00105.csv,gmm,model-based,hrv_raw_scaled,"{""covariance_type"": ""spherical"", ""n_components"": 13}"
106,../../results/clustering_exploration/labels/labels_exp_00106.csv,gmm,model-based,hrv_raw_scaled,"{""covariance_type"": ""full"", ""n_components"": 14}"
107,../../results/clustering_exploration/labels/labels_exp_00107.csv,gmm,model-based,hrv_raw_scaled,"{""covariance_type"": ""diag"", ""n_components"": 14}"
108,../../results/clustering_exploration/labels/labels_exp_00108.csv,gmm,model-based,hrv_raw_scaled,"{""covariance_type"": ""tied"", ""n_components"": 14}"
109,../../results/clustering_exploration/labels/labels_exp_00109.csv,gmm,model-based,hrv_raw_scaled,"{""covariance_type"": ""spherical"", ""n_components"": 14}"
110,../../results/clustering_exploration/labels/labels_exp_00110.csv,gmm,model-based,hrv_raw_scaled,"{""covariance_type"": ""full"", ""n_components"": 15}"
111,../../results/clustering_exploration/labels/labels_exp_00111.csv,gmm,model-based,hrv_raw_scaled,"{""covariance_type"": ""diag"", ""n_components"": 15}"
112,../../results/clustering_exploration/labels/labels_exp_00112.csv,gmm,model-based,hrv_raw_scaled,"{""covariance_type"": ""tied"", ""n_components"": 15}"
113,../../results/clustering_exploration/labels/labels_exp_00113.csv,gmm,model-based,hrv_raw_scaled,"{""covariance_type"": ""spherical"", ""n_components"": 15}"
114,../../results/clustering_exploration/labels/labels_exp_00114.csv,gmm,model-based,hrv_raw_scaled,"{""covariance_type"": ""full"", ""n_components"": 16}"
115,../../results/clustering_exploration/labels/labels_exp_00115.csv,gmm,model-based,hrv_raw_scaled,"{""covariance_type"": ""diag"", ""n_components"": 16}"
116,../../results/clustering_exploration/labels/labels_exp_00116.csv,gmm,model-based,hrv_raw_scaled,"{""covariance_type"": ""tied"", ""n_components"": 16}"
117,../../results/clustering_exploration/labels/labels_exp_00117.csv,gmm,model-based,hrv_raw_scaled,"{""covariance_type"": ""spherical"", ""n_components"": 16}"
118,../../results/clustering_exploration/labels/labels_exp_00118.csv,gmm,model-based,hrv_raw_scaled,"{""covariance_type"": ""full"", ""n_components"": 17}"
119,../../results/clustering_exploration/labels/labels_exp_00119.csv,gmm,model-based,hrv_raw_scaled,"{""covariance_type"": ""diag"", ""n_components"": 17}"
120,../../results/clustering_exploration/labels/labels_exp_00120.csv,gmm,model-based,hrv_raw_scaled,"{""covariance_type"": ""tied"", ""n_components"": 17}"
121,../../results/clustering_exploration/labels/labels_exp_00121.csv,gmm,model-based,hrv_raw_scaled,"{""covariance_type"": ""spherical"", ""n_components"": 17}"
122,../../results/clustering_exploration/labels/labels_exp_00122.csv,gmm,model-based,hrv_raw_scaled,"{""covariance_type"": ""full"", ""n_components"": 18}"
123,../../results/clustering_exploration/labels/labels_exp_00123.csv,gmm,model-based,hrv_raw_scaled,"{""covariance_type"": ""diag"", ""n_components"": 18}"
124,../../results/clustering_exploration/labels/labels_exp_00124.csv,gmm,model-based,hrv_raw_scaled,"{""covariance_type"": ""tied"", ""n_components"": 18}"
125,../../results/clustering_exploration/labels/labels_exp_00125.csv,gmm,model-based,hrv_raw_scaled,"{""covariance_type"": ""spherical"", ""n_components"": 18}"
126,../../results/clustering_exploration/labels/labels_exp_00126.csv,gmm,model-based,hrv_raw_scaled,"{""covariance_type"": ""full"", ""n_components"": 19}"
127,../../results/clustering_exploration/labels/labels_exp_00127.csv,gmm,model-based,hrv_raw_scaled,"{""covariance_type"": ""diag"", ""n_components"": 19}"
128,../../results/clustering_exploration/labels/labels_exp_00128.csv,gmm,model-based,hrv_raw_scaled,"{""covariance_type"": ""tied"", ""n_components"": 19}"
129,../../results/clustering_exploration/labels/labels_exp_00129.csv,gmm,model-based,hrv_raw_scaled,"{""covariance_type"": ""spherical"", ""n_components"": 19}"
130,../../results/clustering_exploration/labels/labels_exp_00130.csv,gmm,model-based,hrv_raw_scaled,"{""covariance_type"": ""full"", ""n_components"": 20}"
131,../../results/clustering_exploration/labels/labels_exp_00131.csv,gmm,model-based,hrv_raw_scaled,"{""covariance_type"": ""diag"", ""n_components"": 20}"
132,../../results/clustering_exploration/labels/labels_exp_00132.csv,gmm,model-based,hrv_raw_scaled,"{""covariance_type"": ""tied"", ""n_components"": 20}"
133,../../results/clustering_exploration/labels/labels_exp_00133.csv,gmm,model-based,hrv_raw_scaled,"{""covariance_type"": ""spherical"", ""n_components"": 20}"
134,../../results/clustering_exploration/labels/labels_exp_00134.csv,gmm,model-based,hrv_raw_scaled,"{""covariance_type"": ""full"", ""n_components"": 21}"
135,../../results/clustering_exploration/labels/labels_exp_00135.csv,gmm,model-based,hrv_raw_scaled,"{""covariance_type"": ""diag"", ""n_components"": 21}"
136,../../results/clustering_exploration/labels/labels_exp_00136.csv,gmm,model-based,hrv_raw_scaled,"{""covariance_type"": ""tied"", ""n_components"": 21}"
137,../../results/clustering_exploration/labels/labels_exp_00137.csv,gmm,model-based,hrv_raw_scaled,"{""covariance_type"": ""spherical"", ""n_components"": 21}"
138,../../results/clustering_exploration/labels/labels_exp_00138.csv,gmm,model-based,hrv_raw_scaled,"{""covariance_type"": ""full"", ""n_components"": 22}"
139,../../results/clustering_exploration/labels/labels_exp_00139.csv,gmm,model-based,hrv_raw_scaled,"{""covariance_type"": ""diag"", ""n_components"": 22}"
140,../../results/clustering_exploration/labels/labels_exp_00140.csv,gmm,model-based,hrv_raw_scaled,"{""covariance_type"": ""tied"", ""n_components"": 22}"
141,../../results/clustering_exploration/labels/labels_exp_00141.csv,gmm,model-based,hrv_raw_scaled,"{""covariance_type"": ""spherical"", ""n_components"": 22}"
142,../../results/clustering_exploration/labels/labels_exp_00142.csv,gmm,model-based,hrv_raw_scaled,"{""covariance_type"": ""full"", ""n_components"": 23}"
143,../../results/clustering_exploration/labels/labels_exp_00143.csv,gmm,model-based,hrv_raw_scaled,"{""covariance_type"": ""diag"", ""n_components"": 23}"
144,../../results/clustering_exploration/labels/labels_exp_00144.csv,gmm,model-based,hrv_raw_scaled,"{""covariance_type"": ""tied"", ""n_components"": 23}"
145,../../results/clustering_exploration/labels/labels_exp_00145.csv,gmm,model-based,hrv_raw_scaled,"{""covariance_type"": ""spherical"", ""n_components"": 23}"
146,../../results/clustering_exploration/labels/labels_exp_00146.csv,gmm,model-based,hrv_raw_scaled,"{""covariance_type"": ""full"", ""n_components"": 24}"
147,../../results/clustering_exploration/labels/labels_exp_00147.csv,gmm,model-based,hrv_raw_scaled,"{""covariance_type"": ""diag"", ""n_components"": 24}"
148,../../results/clustering_exploration/labels/labels_exp_00148.csv,gmm,model-based,hrv_raw_scaled,"{""covariance_type"": ""tied"", ""n_components"": 24}"
149,../../results/clustering_exploration/labels/labels_exp_00149.csv,gmm,model-based,hrv_raw_scaled,"{""covariance_type"": ""spherical"", ""n_components"": 24}"
150,../../results/clustering_exploration/labels/labels_exp_00150.csv,gmm,model-based,hrv_raw_scaled,"{""covariance_type"": ""full"", ""n_components"": 25}"
151,../../results/clustering_exploration/labels/labels_exp_00151.csv,gmm,model-based,hrv_raw_scaled,"{""covariance_type"": ""diag"", ""n_components"": 25}"
152,../../results/clustering_exploration/labels/labels_exp_00152.csv,gmm,model-based,hrv_raw_scaled,"{""covariance_type"": ""tied"", ""n_components"": 25}"
153,../../results/clustering_exploration/labels/labels_exp_00153.csv,gmm,model-based,hrv_raw_scaled,"{""covariance_type"": ""spherical"", ""n_components"": 25}"
154,../../results/clustering_exploration/labels/labels_exp_00154.csv,gmm,model-based,hrv_raw_scaled,"{""covariance_type"": ""full"", ""n_components"": 26}"
155,../../results/clustering_exploration/labels/labels_exp_00155.csv,gmm,model-based,hrv_raw_scaled,"{""covariance_type"": ""diag"", ""n_components"": 26}"
156,../../results/clustering_exploration/labels/labels_exp_00156.csv,gmm,model-based,hrv_raw_scaled,"{""covariance_type"": ""tied"", ""n_components"": 26}"
157,../../results/clustering_exploration/labels/labels_exp_00157.csv,gmm,model-based,hrv_raw_scaled,"{""covariance_type"": ""spherical"", ""n_components"": 26}"
158,../../results/clustering_exploration/labels/labels_exp_00158.csv,gmm,model-based,hrv_raw_scaled,"{""covariance_type"": ""full"", ""n_components"": 27}"
159,../../results/clustering_exploration/labels/labels_exp_00159.csv,gmm,model-based,hrv_raw_scaled,"{""covariance_type"": ""diag"", ""n_components"": 27}"
160,../../results/clustering_exploration/labels/labels_exp_00160.csv,gmm,model-based,hrv_raw_scaled,"{""covariance_type"": ""tied"", ""n_components"": 27}"
161,../../results/clustering_exploration/labels/labels_exp_00161.csv,gmm,model-based,hrv_raw_scaled,"{""covariance_type"": ""spherical"", ""n_components"": 27}"
