sex__age_group,TSNE1,TSNE2,n,embedding,grouping,sex__bmi_cat,sex__bp_cat,age_group__bmi_cat,age_group__bp_cat,bmi_cat__bp_cat,sex__age_group__bmi_cat,sex__age_group__bp_cat,sex__bmi_cat__bp_cat,age_group__bmi_cat__bp_cat
,-10.124244,2.2016046,11,TSNE_Integrated,sex__age_group__bmi_cat,,,,,,1 | 80+ | overweight,,,
,-0.8196434,8.484309,14,TSNE_Integrated,sex__age_group__bmi_cat,,,,,,2 | 60-69 | normal,,,
,7.0324583,0.8943844,22,TSNE_Integrated,sex__age_group__bmi_cat,,,,,,2 | 60-69 | obesity,,,
,0.37955248,8.591849,18,TSNE_Integrated,sex__age_group__bmi_cat,,,,,,2 | 60-69 | overweight,,,
,-0.11931999,4.871147,26,TSNE_Integrated,sex__age_group__bmi_cat,,,,,,2 | 70-79 | normal,,,
,5.4746866,-0.19964832,30,TSNE_Integrated,sex__age_group__bmi_cat,,,,,,2 | 70-79 | obesity,,,
,-1.7110363,4.17973,35,TSNE_Integrated,sex__age_group__bmi_cat,,,,,,2 | 70-79 | overweight,,,
,3.58577,1.4540308,47,TSNE_HRV,sex__age_group__bp_cat,,,,,,,1 | 60-69 | high,,
,4.1412506,2.5172076,115,TSNE_HRV,sex__age_group__bp_cat,,,,,,,1 | 60-69 | normal,,
,0.7421288,1.1174461,48,TSNE_HRV,sex__age_group__bp_cat,,,,,,,1 | 70-79 | high,,
,1.0456198,0.64517045,119,TSNE_HRV,sex__age_group__bp_cat,,,,,,,1 | 70-79 | normal,,
,0.86518955,0.13452034,10,TSNE_HRV,sex__age_group__bp_cat,,,,,,,1 | 80+ | high,,
,0.5098977,8.201596,19,TSNE_HRV,sex__age_group__bp_cat,,,,,,,1 | 80+ | normal,,
,1.5844812,2.0203042,8,TSNE_HRV,sex__age_group__bp_cat,,,,,,,1 | <60 | normal,,
,-6.338492,-3.4510362,19,TSNE_HRV,sex__age_group__bp_cat,,,,,,,2 | 60-69 | high,,
,-12.404444,-14.444765,38,TSNE_HRV,sex__age_group__bp_cat,,,,,,,2 | 60-69 | normal,,
,-4.688796,-2.702456,33,TSNE_HRV,sex__age_group__bp_cat,,,,,,,2 | 70-79 | high,,
,-4.818135,-3.0526533,61,TSNE_HRV,sex__age_group__bp_cat,,,,,,,2 | 70-79 | normal,,
,13.359392,-0.87953883,47,TSNE_Integrated,sex__age_group__bp_cat,,,,,,,1 | 60-69 | high,,
,-0.8951057,-4.883379,115,TSNE_Integrated,sex__age_group__bp_cat,,,,,,,1 | 60-69 | normal,,
,8.341418,0.7562211,48,TSNE_Integrated,sex__age_group__bp_cat,,,,,,,1 | 70-79 | high,,
,-2.1195705,0.203762,119,TSNE_Integrated,sex__age_group__bp_cat,,,,,,,1 | 70-79 | normal,,
,-0.98723584,3.8277335,10,TSNE_Integrated,sex__age_group__bp_cat,,,,,,,1 | 80+ | high,,
,-12.461983,2.8463688,19,TSNE_Integrated,sex__age_group__bp_cat,,,,,,,1 | 80+ | normal,,
,-2.3203745,-0.04453349,8,TSNE_Integrated,sex__age_group__bp_cat,,,,,,,1 | <60 | normal,,
,9.810122,1.9497875,19,TSNE_Integrated,sex__age_group__bp_cat,,,,,,,2 | 60-69 | high,,
,-2.309344,6.894205,38,TSNE_Integrated,sex__age_group__bp_cat,,,,,,,2 | 60-69 | normal,,
,8.791829,3.5763192,33,TSNE_Integrated,sex__age_group__bp_cat,,,,,,,2 | 70-79 | high,,
,-3.2318864,3.2913592,61,TSNE_Integrated,sex__age_group__bp_cat,,,,,,,2 | 70-79 | normal,,
,4.0343566,-0.32642058,13,TSNE_HRV,sex__bmi_cat__bp_cat,,,,,,,,1 | low | normal,
,4.7558045,3.461196,29,TSNE_HRV,sex__bmi_cat__bp_cat,,,,,,,,1 | normal | high,
,2.0671875,2.0476696,85,TSNE_HRV,sex__bmi_cat__bp_cat,,,,,,,,1 | normal | normal,
,2.0857544,1.3254372,40,TSNE_HRV,sex__bmi_cat__bp_cat,,,,,,,,1 | obesity | high,
,3.4231021,3.0942369,90,TSNE_HRV,sex__bmi_cat__bp_cat,,,,,,,,1 | obesity | normal,
,0.5523001,-1.1185477,32,TSNE_HRV,sex__bmi_cat__bp_cat,,,,,,,,1 | overweight | high,
,1.1890374,1.2322897,73,TSNE_HRV,sex__bmi_cat__bp_cat,,,,,,,,1 | overweight | normal,
,-4.5626926,-1.9650409,11,TSNE_HRV,sex__bmi_cat__bp_cat,,,,,,,,2 | normal | high,
,-2.168905,-7.4868035,36,TSNE_HRV,sex__bmi_cat__bp_cat,,,,,,,,2 | normal | normal,
,-6.4647236,-5.295246,29,TSNE_HRV,sex__bmi_cat__bp_cat,,,,,,,,2 | obesity | high,
,-11.013781,-9.511602,25,TSNE_HRV,sex__bmi_cat__bp_cat,,,,,,,,2 | obesity | normal,
,-4.2186556,-0.30243438,14,TSNE_HRV,sex__bmi_cat__bp_cat,,,,,,,,2 | overweight | high,
,-10.389497,-4.802,43,TSNE_HRV,sex__bmi_cat__bp_cat,,,,,,,,2 | overweight | normal,
,-6.435497,6.633692,13,TSNE_Integrated,sex__bmi_cat__bp_cat,,,,,,,,1 | low | normal,
,6.141601,2.7032075,29,TSNE_Integrated,sex__bmi_cat__bp_cat,,,,,,,,1 | normal | high,
,-5.783936,3.6319606,85,TSNE_Integrated,sex__bmi_cat__bp_cat,,,,,,,,1 | normal | normal,
,11.915653,-5.4704843,40,TSNE_Integrated,sex__bmi_cat__bp_cat,,,,,,,,1 | obesity | high,
,1.0527751,-11.5213785,90,TSNE_Integrated,sex__bmi_cat__bp_cat,,,,,,,,1 | obesity | normal,
,11.690475,4.0201006,32,TSNE_Integrated,sex__bmi_cat__bp_cat,,,,,,,,1 | overweight | high,
,-1.7802804,2.1692228,73,TSNE_Integrated,sex__bmi_cat__bp_cat,,,,,,,,1 | overweight | normal,
,1.5028533,6.6007447,11,TSNE_Integrated,sex__bmi_cat__bp_cat,,,,,,,,2 | normal | high,
,-3.7486649,7.2012253,36,TSNE_Integrated,sex__bmi_cat__bp_cat,,,,,,,,2 | normal | normal,
,11.844524,1.3169202,29,TSNE_Integrated,sex__bmi_cat__bp_cat,,,,,,,,2 | obesity | high,
,-1.0807056,-0.40177685,25,TSNE_Integrated,sex__bmi_cat__bp_cat,,,,,,,,2 | obesity | normal,
,5.848888,4.2832446,14,TSNE_Integrated,sex__bmi_cat__bp_cat,,,,,,,,2 | overweight | high,
,-3.5473115,6.279003,43,TSNE_Integrated,sex__bmi_cat__bp_cat,,,,,,,,2 | overweight | normal,
,5.0564666,4.7437706,16,TSNE_HRV,age_group__bmi_cat__bp_cat,,,,,,,,,60-69 | normal | high
,-0.2905317,-2.1516154,46,TSNE_HRV,age_group__bmi_cat__bp_cat,,,,,,,,,60-69 | normal | normal
,-0.5080044,-2.6726525,29,TSNE_HRV,age_group__bmi_cat__bp_cat,,,,,,,,,60-69 | obesity | high
,2.0687747,-0.68911564,62,TSNE_HRV,age_group__bmi_cat__bp_cat,,,,,,,,,60-69 | obesity | normal
,-1.4501727,0.6717261,20,TSNE_HRV,age_group__bmi_cat__bp_cat,,,,,,,,,60-69 | overweight | high
,-2.7486598,-2.5978649,39,TSNE_HRV,age_group__bmi_cat__bp_cat,,,,,,,,,60-69 | overweight | normal
,-2.6076288,-4.3755183,10,TSNE_HRV,age_group__bmi_cat__bp_cat,,,,,,,,,70-79 | low | normal
,3.6054888,1.5610203,19,TSNE_HRV,age_group__bmi_cat__bp_cat,,,,,,,,,70-79 | normal | high
,3.868302,-0.1616627,57,TSNE_HRV,age_group__bmi_cat__bp_cat,,,,,,,,,70-79 | normal | normal
,-2.4598138,-0.3124888,34,TSNE_HRV,age_group__bmi_cat__bp_cat,,,,,,,,,70-79 | obesity | high
,-1.9340442,1.3035965,50,TSNE_HRV,age_group__bmi_cat__bp_cat,,,,,,,,,70-79 | obesity | normal
,-0.63243544,-1.1662208,23,TSNE_HRV,age_group__bmi_cat__bp_cat,,,,,,,,,70-79 | overweight | high
,-4.241146,-1.9308958,63,TSNE_HRV,age_group__bmi_cat__bp_cat,,,,,,,,,70-79 | overweight | normal
,-4.667538,5.9647813,12,TSNE_HRV,age_group__bmi_cat__bp_cat,,,,,,,,,80+ | normal | normal
,-0.45096508,8.657825,12,TSNE_HRV,age_group__bmi_cat__bp_cat,,,,,,,,,80+ | overweight | normal
,11.112185,1.8662724,16,TSNE_Integrated,age_group__bmi_cat__bp_cat,,,,,,,,,60-69 | normal | high
,-4.8812385,5.133047,46,TSNE_Integrated,age_group__bmi_cat__bp_cat,,,,,,,,,60-69 | normal | normal
,13.627948,-3.724691,29,TSNE_Integrated,age_group__bmi_cat__bp_cat,,,,,,,,,60-69 | obesity | high
,2.2033927,-11.165037,62,TSNE_Integrated,age_group__bmi_cat__bp_cat,,,,,,,,,60-69 | obesity | normal
,11.284081,3.0867305,20,TSNE_Integrated,age_group__bmi_cat__bp_cat,,,,,,,,,60-69 | overweight | high
,-0.850936,3.450233,39,TSNE_Integrated,age_group__bmi_cat__bp_cat,,,,,,,,,60-69 | overweight | normal
,-5.6839967,8.669201,10,TSNE_Integrated,age_group__bmi_cat__bp_cat,,,,,,,,,70-79 | low | normal
,3.6319287,4.504561,19,TSNE_Integrated,age_group__bmi_cat__bp_cat,,,,,,,,,70-79 | normal | high
,-3.3964906,3.5789373,57,TSNE_Integrated,age_group__bmi_cat__bp_cat,,,,,,,,,70-79 | normal | normal
,13.128955,-3.145683,34,TSNE_Integrated,age_group__bmi_cat__bp_cat,,,,,,,,,70-79 | obesity | high
,-1.4724874,-6.0923977,50,TSNE_Integrated,age_group__bmi_cat__bp_cat,,,,,,,,,70-79 | obesity | normal
,8.946886,4.9447823,23,TSNE_Integrated,age_group__bmi_cat__bp_cat,,,,,,,,,70-79 | overweight | high
,-1.9890423,3.7928417,63,TSNE_Integrated,age_group__bmi_cat__bp_cat,,,,,,,,,70-79 | overweight | normal
,-12.1794815,5.503651,12,TSNE_Integrated,age_group__bmi_cat__bp_cat,,,,,,,,,80+ | normal | normal
,-12.790162,3.3410263,12,TSNE_Integrated,age_group__bmi_cat__bp_cat,,,,,,,,,80+ | overweight | normal
